hora_test,algoritmo, tolerancia, max_iteraciones, tiempo_transcurrido,solucion
2023-11-22 14:37:47,Jacobi,1e-09,1000,0.03902,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:11,Jacobi,1e-09,1000,0.038137,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:13,Jacobi,1e-09,1000,0.038411,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:14,Jacobi,1e-09,1000,0.038491,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:14,Jacobi,1e-09,1000,0.038523,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
