hora_test,algoritmo, tolerancia, max_iteraciones, tiempo_transcurrido,solucion
2023-11-22 14:37:47,Gauss-Seidel,1e-09,1000,0.021748,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:11,Gauss-Seidel,1e-09,1000,0.021592,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:13,Gauss-Seidel,1e-09,1000,0.021572,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:14,Gauss-Seidel,1e-09,1000,0.021399,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
2023-11-22 14:38:15,Gauss-Seidel,1e-09,1000,0.020344,67.8571 71.4286 67.8571 50 50 50 32.1429 28.5714 32.1429  
